"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"electric_bike","casual","up to 10 min.","Tuesday","May",18
"classic_bike","member","up to 10 min.","Wednesday","December",20
"electric_bike","member","10 to 30 min.","Friday","July",15
"classic_bike","casual","up to 10 min.","Wednesday","March",13
"classic_bike","member","10 to 30 min.","Monday","October",11
"classic_bike","member","up to 10 min.","Thursday","September",6
"classic_bike","member","10 to 30 min.","Monday","January",17
"electric_bike","member","up to 10 min.","Monday","May",17
"classic_bike","member","10 to 30 min.","Sunday","March",15
"electric_bike","casual","10 to 30 min.","Thursday","June",15
"classic_bike","casual","10 to 30 min.","Saturday","May",12
"classic_bike","member","10 to 30 min.","Monday","October",16
"electric_bike","member","up to 10 min.","Monday","September",16
"electric_bike","member","up to 10 min.","Monday","August",14
"classic_bike","casual","over 60 min.","Saturday","September",21
"electric_bike","member","up to 10 min.","Friday","August",15
"electric_bike","member","10 to 30 min.","Thursday","August",16
"electric_bike","casual","up to 10 min.","Wednesday","October",8
"electric_bike","member","10 to 30 min.","Wednesday","October",8
"electric_bike","casual","up to 10 min.","Friday","August",19
"classic_bike","member","up to 10 min.","Thursday","February",5
"electric_bike","member","10 to 30 min.","Tuesday","April",19
"classic_bike","member","10 to 30 min.","Monday","August",16
"electric_bike","member","up to 10 min.","Tuesday","June",18
"electric_bike","member","10 to 30 min.","Wednesday","February",12
"classic_bike","member","10 to 30 min.","Friday","May",14
"electric_bike","member","up to 10 min.","Wednesday","November",6
"classic_bike","member","10 to 30 min.","Wednesday","August",20
"electric_bike","member","10 to 30 min.","Monday","August",7
"classic_bike","member","up to 10 min.","Saturday","June",17
"classic_bike","casual","up to 10 min.","Thursday","October",8
"classic_bike","casual","over 60 min.","Saturday","May",11
"classic_bike","member","10 to 30 min.","Friday","February",17
"classic_bike","member","up to 10 min.","Thursday","February",13
"classic_bike","member","10 to 30 min.","Sunday","September",22
"electric_bike","member","up to 10 min.","Friday","September",17
"electric_bike","member","up to 10 min.","Tuesday","June",14
"classic_bike","member","up to 10 min.","Wednesday","February",17
"classic_bike","casual","30 to 60 min.","Saturday","August",22
"electric_bike","member","up to 10 min.","Wednesday","June",22
"electric_bike","member","10 to 30 min.","Thursday","February",15
"classic_bike","casual","10 to 30 min.","Tuesday","July",23
"classic_bike","member","30 to 60 min.","Sunday","May",17
"electric_bike","member","10 to 30 min.","Sunday","September",12
"electric_bike","casual","10 to 30 min.","Friday","May",16
"electric_bike","casual","10 to 30 min.","Wednesday","July",18
"classic_bike","member","10 to 30 min.","Saturday","August",10
"electric_bike","casual","up to 10 min.","Friday","July",13
"electric_bike","casual","10 to 30 min.","Saturday","August",17
"electric_bike","member","10 to 30 min.","Thursday","September",14
"classic_bike","member","up to 10 min.","Monday","May",16
"classic_bike","member","10 to 30 min.","Saturday","June",13
"electric_bike","casual","up to 10 min.","Monday","July",21
"electric_bike","member","30 to 60 min.","Friday","September",20
"electric_bike","member","30 to 60 min.","Sunday","October",22
"classic_bike","member","10 to 30 min.","Monday","January",20
"electric_bike","casual","10 to 30 min.","Saturday","September",1
"electric_bike","casual","over 60 min.","Friday","August",13
"electric_bike","member","up to 10 min.","Friday","July",6
"classic_bike","member","up to 10 min.","Wednesday","December",10
"electric_bike","member","10 to 30 min.","Monday","June",20
"classic_bike","casual","up to 10 min.","Wednesday","October",8
"electric_bike","member","up to 10 min.","Wednesday","April",14
"classic_bike","member","up to 10 min.","Wednesday","October",14
"electric_bike","casual","10 to 30 min.","Monday","May",19
"classic_bike","member","up to 10 min.","Saturday","October",10
"electric_bike","member","10 to 30 min.","Thursday","December",17
"classic_bike","casual","10 to 30 min.","Sunday","August",10
"electric_bike","casual","up to 10 min.","Thursday","July",14
"classic_bike","member","30 to 60 min.","Sunday","August",17
"classic_bike","member","10 to 30 min.","Wednesday","July",22
"electric_bike","member","up to 10 min.","Monday","February",19
"electric_bike","member","up to 10 min.","Thursday","April",13
"electric_bike","member","up to 10 min.","Friday","October",10
"electric_bike","member","10 to 30 min.","Tuesday","October",20
"electric_bike","casual","up to 10 min.","Tuesday","May",12
"classic_bike","casual","10 to 30 min.","Sunday","September",11
"classic_bike","member","up to 10 min.","Wednesday","September",12
"electric_bike","member","10 to 30 min.","Sunday","February",11
"classic_bike","member","10 to 30 min.","Wednesday","August",16
"electric_bike","member","up to 10 min.","Saturday","January",16
"classic_bike","casual","10 to 30 min.","Thursday","July",20
"classic_bike","casual","up to 10 min.","Monday","July",18
"electric_bike","member","10 to 30 min.","Saturday","May",14
"classic_bike","member","up to 10 min.","Monday","July",15
"classic_bike","member","up to 10 min.","Wednesday","March",17
"classic_bike","member","up to 10 min.","Tuesday","June",8
"classic_bike","member","10 to 30 min.","Sunday","December",17
"electric_bike","member","10 to 30 min.","Friday","October",7
"classic_bike","casual","up to 10 min.","Friday","August",18
"electric_bike","member","up to 10 min.","Saturday","August",12
"electric_bike","member","up to 10 min.","Saturday","June",11
"electric_bike","member","up to 10 min.","Wednesday","July",15
"classic_bike","member","up to 10 min.","Monday","July",15
"electric_bike","casual","up to 10 min.","Friday","September",15
"classic_bike","member","10 to 30 min.","Friday","August",9
"electric_bike","casual","10 to 30 min.","Wednesday","September",2
"classic_bike","member","10 to 30 min.","Saturday","July",9
"electric_bike","casual","10 to 30 min.","Friday","May",12
"classic_bike","member","up to 10 min.","Wednesday","July",11
"electric_bike","casual","up to 10 min.","Saturday","September",18
"electric_bike","member","10 to 30 min.","Tuesday","August",7
"electric_bike","member","10 to 30 min.","Monday","June",17
"classic_bike","member","10 to 30 min.","Wednesday","May",16
"electric_bike","casual","10 to 30 min.","Tuesday","June",13
"electric_bike","member","up to 10 min.","Wednesday","May",17
"classic_bike","casual","10 to 30 min.","Wednesday","August",17
"classic_bike","member","up to 10 min.","Friday","August",23
"electric_bike","member","10 to 30 min.","Saturday","May",9
"electric_bike","member","up to 10 min.","Wednesday","January",16
"classic_bike","casual","up to 10 min.","Sunday","July",9
"electric_bike","casual","up to 10 min.","Saturday","September",12
"electric_bike","member","up to 10 min.","Wednesday","July",18
"electric_bike","member","up to 10 min.","Sunday","June",11
"electric_bike","member","up to 10 min.","Friday","November",18
"electric_bike","casual","10 to 30 min.","Thursday","August",11
"electric_bike","member","10 to 30 min.","Thursday","February",18
"classic_bike","member","up to 10 min.","Wednesday","January",8
"electric_bike","casual","30 to 60 min.","Wednesday","September",11
"electric_bike","member","up to 10 min.","Monday","October",18
"electric_bike","casual","10 to 30 min.","Friday","September",12
"electric_bike","casual","up to 10 min.","Saturday","March",16
"electric_scooter","member","up to 10 min.","Tuesday","September",8
"electric_bike","member","10 to 30 min.","Saturday","July",13
"electric_bike","member","up to 10 min.","Tuesday","October",6
"classic_bike","casual","10 to 30 min.","Sunday","September",15
"electric_bike","member","up to 10 min.","Sunday","May",19
"classic_bike","member","up to 10 min.","Monday","January",16
"electric_bike","casual","10 to 30 min.","Sunday","June",10
"classic_bike","casual","30 to 60 min.","Monday","May",18
"classic_bike","member","10 to 30 min.","Saturday","March",5
"classic_bike","member","10 to 30 min.","Thursday","February",8
"classic_bike","casual","10 to 30 min.","Saturday","March",15
