"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"classic_bike","member","up to 10 min.","Wednesday","February",5
"electric_bike","casual","10 to 30 min.","Sunday","November",14
"electric_bike","casual","10 to 30 min.","Saturday","September",11
"electric_bike","casual","10 to 30 min.","Thursday","September",19
"electric_bike","member","10 to 30 min.","Saturday","May",14
"classic_bike","casual","10 to 30 min.","Wednesday","May",12
"classic_bike","casual","up to 10 min.","Wednesday","October",8
"electric_bike","member","30 to 60 min.","Sunday","June",8
"electric_bike","member","up to 10 min.","Saturday","August",10
"classic_bike","casual","over 60 min.","Thursday","August",13
"classic_bike","casual","30 to 60 min.","Monday","October",10
"electric_bike","casual","10 to 30 min.","Sunday","December",13
"electric_bike","casual","10 to 30 min.","Saturday","August",15
"classic_bike","member","up to 10 min.","Wednesday","October",20
"electric_bike","member","up to 10 min.","Saturday","January",16
"classic_bike","member","up to 10 min.","Saturday","March",14
"classic_bike","member","10 to 30 min.","Wednesday","February",16
"electric_bike","member","up to 10 min.","Tuesday","April",10
"classic_bike","member","up to 10 min.","Thursday","April",15
"classic_bike","casual","up to 10 min.","Tuesday","May",7
"electric_bike","member","10 to 30 min.","Friday","May",21
"classic_bike","casual","10 to 30 min.","Wednesday","September",17
"classic_bike","casual","30 to 60 min.","Saturday","August",15
"classic_bike","member","up to 10 min.","Thursday","October",6
"electric_bike","casual","over 60 min.","Saturday","June",18
"electric_bike","casual","over 60 min.","Saturday","October",19
"electric_bike","member","up to 10 min.","Tuesday","December",8
"electric_bike","casual","up to 10 min.","Monday","April",20
"electric_bike","casual","up to 10 min.","Wednesday","July",20
"classic_bike","casual","up to 10 min.","Thursday","June",12
"classic_bike","member","10 to 30 min.","Monday","June",9
"electric_bike","member","10 to 30 min.","Saturday","June",12
"classic_bike","member","up to 10 min.","Sunday","August",16
"electric_bike","member","10 to 30 min.","Monday","September",13
"electric_bike","casual","up to 10 min.","Monday","August",9
"electric_bike","casual","up to 10 min.","Saturday","May",10
"electric_bike","member","up to 10 min.","Monday","June",6
"classic_bike","member","10 to 30 min.","Monday","February",8
"electric_bike","casual","up to 10 min.","Tuesday","June",8
"classic_bike","member","10 to 30 min.","Sunday","June",22
"classic_bike","casual","up to 10 min.","Friday","September",14
"electric_bike","casual","up to 10 min.","Tuesday","November",13
"classic_bike","casual","30 to 60 min.","Tuesday","August",15
"electric_bike","member","10 to 30 min.","Sunday","December",16
"classic_bike","member","30 to 60 min.","Tuesday","October",16
"classic_bike","casual","10 to 30 min.","Thursday","May",14
"classic_bike","member","up to 10 min.","Monday","June",17
"electric_bike","member","30 to 60 min.","Sunday","August",15
"electric_bike","member","up to 10 min.","Wednesday","June",19
"electric_bike","casual","10 to 30 min.","Tuesday","April",18
"classic_bike","casual","up to 10 min.","Thursday","May",18
"classic_bike","member","up to 10 min.","Wednesday","March",10
"classic_bike","member","10 to 30 min.","Monday","July",17
"electric_bike","casual","10 to 30 min.","Tuesday","June",19
"classic_bike","casual","10 to 30 min.","Sunday","March",8
"classic_bike","member","30 to 60 min.","Thursday","August",16
"electric_bike","member","up to 10 min.","Wednesday","April",15
"electric_bike","casual","10 to 30 min.","Monday","September",19
"electric_bike","member","10 to 30 min.","Wednesday","August",17
"electric_bike","casual","10 to 30 min.","Saturday","August",19
"electric_bike","member","up to 10 min.","Sunday","July",16
"classic_bike","casual","10 to 30 min.","Sunday","October",13
"classic_bike","casual","over 60 min.","Saturday","October",13
"classic_bike","casual","over 60 min.","Saturday","August",14
"classic_bike","member","up to 10 min.","Wednesday","July",17
"electric_bike","member","10 to 30 min.","Friday","July",12
"classic_bike","member","10 to 30 min.","Monday","September",16
"classic_bike","member","10 to 30 min.","Monday","June",18
"electric_bike","casual","10 to 30 min.","Thursday","December",11
"classic_bike","member","up to 10 min.","Tuesday","July",12
"classic_bike","member","up to 10 min.","Thursday","November",7
"classic_bike","casual","10 to 30 min.","Saturday","June",17
"electric_bike","member","10 to 30 min.","Sunday","May",9
"classic_bike","member","10 to 30 min.","Saturday","November",10
"electric_bike","member","up to 10 min.","Tuesday","July",17
"classic_bike","casual","30 to 60 min.","Sunday","July",12
"classic_bike","casual","up to 10 min.","Wednesday","September",19
"classic_bike","casual","30 to 60 min.","Wednesday","June",20
"electric_bike","member","10 to 30 min.","Thursday","May",16
"classic_bike","casual","up to 10 min.","Sunday","September",23
"electric_bike","casual","10 to 30 min.","Saturday","July",19
"electric_bike","member","up to 10 min.","Wednesday","March",8
"electric_bike","casual","up to 10 min.","Thursday","June",9
"electric_bike","member","up to 10 min.","Saturday","November",3
"electric_bike","member","10 to 30 min.","Monday","April",8
"electric_bike","member","10 to 30 min.","Tuesday","April",18
"electric_bike","member","10 to 30 min.","Saturday","August",12
"classic_bike","casual","10 to 30 min.","Saturday","February",14
"classic_bike","member","10 to 30 min.","Saturday","March",12
"classic_bike","member","up to 10 min.","Tuesday","July",21
"electric_bike","member","up to 10 min.","Tuesday","July",18
"electric_bike","casual","up to 10 min.","Friday","May",7
"electric_bike","member","up to 10 min.","Friday","May",16
"classic_bike","casual","up to 10 min.","Friday","May",20
"electric_bike","casual","up to 10 min.","Friday","September",0
"electric_bike","casual","up to 10 min.","Wednesday","September",9
"classic_bike","casual","10 to 30 min.","Saturday","April",17
"electric_bike","casual","30 to 60 min.","Monday","September",18
"electric_bike","member","up to 10 min.","Saturday","July",8
"classic_bike","member","up to 10 min.","Monday","July",7
"classic_bike","member","up to 10 min.","Wednesday","July",17
"classic_bike","casual","10 to 30 min.","Sunday","September",10
"electric_bike","casual","10 to 30 min.","Saturday","September",17
"electric_bike","member","10 to 30 min.","Sunday","September",19
"electric_bike","member","up to 10 min.","Wednesday","April",19
"classic_bike","member","up to 10 min.","Monday","February",15
"electric_bike","member","up to 10 min.","Sunday","September",14
